Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
51,51,2000-02-15,24-210,MIL,@,DAL,W (+13),1,39:00,9,20,.450,3,8,.375,6,6,1.000,5,4,9,5,1,0,1,1,27,24.4
52,52,2000-02-17,24-212,MIL,,IND,L (-2),1,32:00,6,13,.462,0,1,.000,6,6,1.000,0,2,2,2,1,0,0,4,18,12.7
53,53,2000-02-19,24-214,MIL,,VAN,L (-11),1,46:00,10,21,.476,1,4,.250,11,13,.846,2,4,6,4,1,0,5,1,32,21.5
54,54,2000-02-22,24-217,MIL,@,WAS,L (-25),1,33:00,7,10,.700,2,4,.500,1,1,1.000,3,0,3,4,0,0,1,2,17,15.9
55,55,2000-02-23,24-218,MIL,,GSW,L (-5),1,42:00,9,19,.474,2,3,.667,4,4,1.000,0,5,5,3,0,0,2,2,24,15.1
56,56,2000-02-25,24-220,MIL,,PHI,L (-14),1,24:00,7,18,.389,1,3,.333,0,0,,2,1,3,1,0,0,2,5,15,3.6
57,57,2000-02-27,24-222,MIL,,ORL,W (+7),1,38:00,8,20,.400,2,5,.400,8,8,1.000,2,7,9,4,0,2,2,4,26,19.3
58,58,2000-03-02,24-226,MIL,@,NYK,L (-15),1,38:00,9,15,.600,3,5,.600,4,5,.800,0,2,2,4,1,0,2,1,25,19.7
59,59,2000-03-04,24-228,MIL,,MIN,L (-7),1,42:00,11,22,.500,1,6,.167,5,5,1.000,2,1,3,5,1,0,2,1,28,20.8
60,60,2000-03-06,24-230,MIL,,ATL,W (+33),1,30:00,5,13,.385,3,5,.600,0,0,,0,3,3,2,2,0,2,2,13,7.4
61,61,2000-03-08,24-232,MIL,@,BOS,L (-11),1,40:00,11,20,.550,4,7,.571,2,3,.667,0,4,4,1,5,0,3,1,28,21.5
62,62,2000-03-10,24-234,MIL,,NJN,L (-28),1,35:00,5,11,.455,2,5,.400,4,4,1.000,0,9,9,7,0,0,2,3,16,14.7
63,63,2000-03-12,24-236,MIL,,CLE,W (+31),1,33:00,7,17,.412,1,6,.167,3,3,1.000,0,6,6,6,0,0,1,1,18,13.5
64,64,2000-03-14,24-238,MIL,@,MIA,L (-4),1,43:00,7,13,.538,3,3,1.000,9,11,.818,3,2,5,3,1,1,2,2,26,22.6
65,65,2000-03-16,24-240,MIL,,HOU,W (+10),1,42:00,10,18,.556,3,6,.500,5,8,.625,1,5,6,7,3,1,1,0,28,28.0
66,66,2000-03-18,24-242,MIL,@,NJN,L (-2),1,45:00,5,20,.250,0,7,.000,0,0,,2,4,6,4,2,0,4,4,10,-0.2
67,67,2000-03-19,24-243,MIL,@,MIN,L (-27),1,36:00,2,16,.125,2,3,.667,4,4,1.000,0,3,3,0,0,0,1,0,10,-0.5
